# Time, p, Ux, Uy, Uz, e
2.000000000000000000e+00 1.000000000000000000e+00 9.999991000000000296e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.969542000000000126e-01
3.000000000000000000e+00 2.455487000000000086e-01 2.411914999999999892e-02 4.657111999999999918e-01 4.354931000000000219e-01 9.999422000000000033e-01
4.000000000000000000e+00 1.543532999999999988e-01 1.452437999999999993e-02 1.884458999999999995e-01 2.040536000000000016e-01 3.557739000000000040e-02
5.000000000000000000e+00 1.624957999999999958e-01 5.523603999999999667e-03 1.123576000000000019e-01 1.187924999999999953e-01 9.911259000000000388e-03
6.000000000000000000e+00 3.382277000000000200e-01 6.240639000000000082e-03 1.777040000000000008e-01 1.469538999999999984e-01 1.164760999999999921e-02
7.000000000000000000e+00 2.235084999999999988e-01 3.751982000000000060e-03 1.426184000000000063e-01 1.102124000000000020e-01 9.285019000000000258e-03
8.000000000000000000e+00 1.266152000000000111e-01 1.741691999999999980e-03 1.132195000000000007e-01 7.499100000000000210e-02 7.476759000000000356e-03
9.000000000000000000e+00 6.298097000000000278e-01 2.799418000000000132e-03 7.784844999999999959e-02 5.395965999999999957e-02 8.575444999999999249e-03
1.000000000000000000e+01 1.580457999999999863e-01 2.677235000000000031e-03 6.803415000000000157e-02 5.545792000000000083e-02 7.634212999999999937e-03
1.100000000000000000e+01 9.639428999999999359e-02 1.711636000000000104e-03 4.698751999999999790e-02 4.363485999999999754e-02 5.711523999999999941e-03
1.200000000000000000e+01 1.507037999999999989e-01 1.008348999999999964e-03 3.184904999999999681e-02 2.967600000000000099e-02 5.410296999999999676e-03
1.300000000000000000e+01 6.799479999999999968e-01 1.427745000000000012e-03 3.036167000000000032e-02 2.643084000000000058e-02 6.221141000000000344e-03
1.400000000000000000e+01 4.228616000000000041e-01 1.188414000000000050e-03 2.234540999999999958e-02 1.824792000000000081e-02 5.526983000000000069e-03
1.500000000000000000e+01 2.604584999999999817e-01 4.245292000000000011e-04 1.975404000000000049e-02 1.570074000000000122e-02 3.557420999999999847e-03
1.600000000000000000e+01 1.222673999999999983e-01 5.481743000000000076e-04 1.768252999999999839e-02 1.423245000000000066e-02 3.452644999999999846e-03
1.700000000000000000e+01 9.315787000000000373e-02 5.527960000000000382e-04 1.343284999999999965e-02 1.100167999999999979e-02 3.421461000000000207e-03
1.800000000000000000e+01 6.580634000000000483e-02 4.227677000000000214e-04 1.263994000000000055e-02 1.046027000000000068e-02 3.086908000000000186e-03
1.900000000000000000e+01 6.506512000000000406e-02 2.545908999999999954e-04 1.213154999999999963e-02 1.003276999999999988e-02 2.849015999999999788e-03
2.000000000000000000e+01 5.607990999999999671e-02 3.235092999999999758e-04 1.075588000000000065e-02 8.841823999999999864e-03 2.932866000000000119e-03
2.100000000000000000e+01 4.066782000000000036e-02 3.093624999999999912e-04 1.034523000000000040e-02 8.411487000000000477e-03 2.788895999999999910e-03
2.200000000000000000e+01 3.121619000000000130e-02 2.296727999999999942e-04 9.875376999999999419e-03 7.962695000000000536e-03 2.514334999999999921e-03
2.300000000000000000e+01 2.794734000000000107e-02 2.068736999999999909e-04 9.066206999999999738e-03 7.291116000000000263e-03 2.547680000000000083e-03
2.400000000000000000e+01 2.248769999999999936e-02 2.040797999999999972e-04 8.514347000000000235e-03 6.830379999999999611e-03 2.499317999999999939e-03
2.500000000000000000e+01 1.926558000000000090e-02 1.921910000000000035e-04 8.198060999999999543e-03 6.597318999999999926e-03 2.429987000000000206e-03
2.600000000000000000e+01 1.726632000000000167e-02 1.765943999999999977e-04 7.840784999999999422e-03 6.325314000000000283e-03 2.334310000000000031e-03
2.700000000000000000e+01 1.381189000000000028e-02 1.788731000000000002e-04 7.410700000000000100e-03 5.981303999999999788e-03 2.271814999999999946e-03
2.800000000000000000e+01 1.139740000000000024e-02 1.744768999999999964e-04 7.162126999999999903e-03 5.764936000000000019e-03 2.238305999999999803e-03
2.900000000000000000e+01 9.942905999999999619e-03 1.682072000000000114e-04 6.957437999999999817e-03 5.575364000000000188e-03 2.211316999999999970e-03
3.000000000000000000e+01 8.815141000000000296e-03 1.609918000000000059e-04 6.740193999999999699e-03 5.390868000000000049e-03 2.197300000000000121e-03
3.100000000000000000e+01 7.923420000000000463e-03 1.553621999999999946e-04 6.577577999999999724e-03 5.258137999999999875e-03 2.175799999999999870e-03
3.200000000000000000e+01 7.337315999999999977e-03 1.522341999999999934e-04 6.417105999999999678e-03 5.135566000000000263e-03 2.144417000000000025e-03
3.300000000000000000e+01 6.912195999999999792e-03 1.493621000000000044e-04 6.276811999999999669e-03 5.031029999999999704e-03 2.113378999999999865e-03
3.400000000000000000e+01 6.517428999999999931e-03 1.468544000000000013e-04 6.157464999999999987e-03 4.934125999999999616e-03 2.081042999999999869e-03
3.500000000000000000e+01 6.216965999999999985e-03 1.444650999999999867e-04 6.055152999999999751e-03 4.848980000000000130e-03 2.047498999999999934e-03
3.600000000000000000e+01 5.931594999999999576e-03 1.419968000000000022e-04 5.943641999999999849e-03 4.761060000000000118e-03 2.013992000000000039e-03
3.700000000000000000e+01 5.648959000000000272e-03 1.394993999999999878e-04 5.827434999999999733e-03 4.671400000000000031e-03 1.982072000000000087e-03
3.800000000000000000e+01 5.445321000000000362e-03 1.372279000000000012e-04 5.720807999999999970e-03 4.590804999999999886e-03 1.951601999999999981e-03
3.900000000000000000e+01 5.294064999999999709e-03 1.349854000000000104e-04 5.615806999999999570e-03 4.512478000000000322e-03 1.921603999999999934e-03
4.000000000000000000e+01 5.164743000000000285e-03 1.327936999999999954e-04 5.524371000000000143e-03 4.444351000000000031e-03 1.893799000000000047e-03
4.100000000000000000e+01 5.086275000000000344e-03 1.306010999999999988e-04 5.442353999999999942e-03 4.379736999999999866e-03 1.867362000000000015e-03
4.200000000000000000e+01 5.044617000000000372e-03 1.285059000000000125e-04 5.361045000000000046e-03 4.315341999999999789e-03 1.843442999999999948e-03
4.300000000000000000e+01 4.968479999999999945e-03 1.265031999999999919e-04 5.279151999999999630e-03 4.252633999999999928e-03 1.821165000000000023e-03
4.400000000000000000e+01 4.881024999999999774e-03 1.246191000000000009e-04 5.194289999999999845e-03 4.187418000000000043e-03 1.801220000000000078e-03
4.500000000000000000e+01 4.766178000000000255e-03 1.227075000000000106e-04 5.106031999999999932e-03 4.121904000000000019e-03 1.783295999999999970e-03
4.600000000000000000e+01 4.637518999999999669e-03 1.208050999999999998e-04 5.021778000000000179e-03 4.059697999999999606e-03 1.767698000000000056e-03
4.700000000000000000e+01 4.571037000000000017e-03 1.189763000000000013e-04 4.944686000000000220e-03 4.000632999999999967e-03 1.755943999999999951e-03
4.800000000000000000e+01 4.515128000000000197e-03 1.172734999999999945e-04 4.861151999999999661e-03 3.935005999999999574e-03 1.747529000000000053e-03
4.900000000000000000e+01 4.461676000000000357e-03 1.155475999999999980e-04 4.785682000000000304e-03 3.874307000000000011e-03 1.742541000000000012e-03
5.000000000000000000e+01 4.398322999999999990e-03 1.138545000000000057e-04 4.715424999999999651e-03 3.819021000000000134e-03 1.742047000000000040e-03
5.100000000000000000e+01 4.301972000000000261e-03 1.122703000000000015e-04 4.651330000000000395e-03 3.770370999999999792e-03 1.744515000000000085e-03
5.200000000000000000e+01 4.200999999999999873e-03 1.107368000000000068e-04 4.591895000000000351e-03 3.722561000000000099e-03 1.749902999999999919e-03
5.300000000000000000e+01 4.132260999999999920e-03 1.092394000000000031e-04 4.534035999999999969e-03 3.674947999999999930e-03 1.757544999999999897e-03
5.400000000000000000e+01 4.073999000000000023e-03 1.077362999999999937e-04 4.471761000000000312e-03 3.622591000000000092e-03 1.767508000000000100e-03
5.500000000000000000e+01 4.018464999999999711e-03 1.062571000000000029e-04 4.410891999999999591e-03 3.570652000000000114e-03 1.779811000000000067e-03
5.600000000000000000e+01 3.957796999999999878e-03 1.048884999999999970e-04 4.354054999999999905e-03 3.520830999999999874e-03 1.792954000000000032e-03
5.700000000000000000e+01 3.912615000000000363e-03 1.036377999999999990e-04 4.299533999999999821e-03 3.472368999999999890e-03 1.807835000000000041e-03
5.800000000000000000e+01 3.874703000000000175e-03 1.024710999999999954e-04 4.247741999999999664e-03 3.426638000000000080e-03 1.823357000000000059e-03
5.900000000000000000e+01 3.833449999999999965e-03 1.013313999999999968e-04 4.200118000000000081e-03 3.380847000000000192e-03 1.839869999999999960e-03
6.000000000000000000e+01 3.807913000000000010e-03 1.002731999999999940e-04 4.153320999999999749e-03 3.334567000000000087e-03 1.856673999999999998e-03
6.100000000000000000e+01 3.765563999999999890e-03 9.923556000000000640e-05 4.105824000000000105e-03 3.288001000000000031e-03 1.873731000000000008e-03
6.200000000000000000e+01 3.686043999999999866e-03 9.821001999999999792e-05 4.061391999999999607e-03 3.242242000000000214e-03 1.890015000000000098e-03
6.300000000000000000e+01 3.634665999999999939e-03 9.719037999999999560e-05 4.018434999999999889e-03 3.196902000000000164e-03 1.905402000000000051e-03
6.400000000000000000e+01 3.584480000000000131e-03 9.620254999999999594e-05 3.978245000000000045e-03 3.153814999999999917e-03 1.920396999999999903e-03
6.500000000000000000e+01 3.536936000000000073e-03 9.523327000000000647e-05 3.940413000000000249e-03 3.109796000000000175e-03 1.934601999999999893e-03
6.600000000000000000e+01 3.492060999999999863e-03 9.429210000000000477e-05 3.904958999999999947e-03 3.065533000000000060e-03 1.947259000000000012e-03
6.700000000000000000e+01 3.437172000000000057e-03 9.337655999999999355e-05 3.869959000000000073e-03 3.020389999999999967e-03 1.958671999999999844e-03
6.800000000000000000e+01 3.374481999999999829e-03 9.247002000000000205e-05 3.834066000000000123e-03 2.973926000000000000e-03 1.968545999999999838e-03
6.900000000000000000e+01 3.318906999999999847e-03 9.154360000000000221e-05 3.801923000000000021e-03 2.927925999999999966e-03 1.977313999999999981e-03
7.000000000000000000e+01 3.260505999999999821e-03 9.062938000000000200e-05 3.770495999999999917e-03 2.880086000000000018e-03 1.984576999999999956e-03
7.100000000000000000e+01 3.202182999999999939e-03 8.975091999999999619e-05 3.740391000000000028e-03 2.831043000000000101e-03 1.988825999999999962e-03
7.200000000000000000e+01 3.140963999999999996e-03 8.888664000000000656e-05 3.710358999999999879e-03 2.781708999999999831e-03 1.991568999999999891e-03
7.300000000000000000e+01 3.093423000000000093e-03 8.804803999999999734e-05 3.679275999999999987e-03 2.731945999999999854e-03 1.992648999999999983e-03
7.400000000000000000e+01 3.047334000000000067e-03 8.722443999999999391e-05 3.648151000000000085e-03 2.681980000000000041e-03 1.992364999999999848e-03
7.500000000000000000e+01 3.003117999999999933e-03 8.642454999999999571e-05 3.618721999999999998e-03 2.633986999999999960e-03 1.990827000000000135e-03
7.600000000000000000e+01 2.969664999999999805e-03 8.564229999999999825e-05 3.589613000000000179e-03 2.587362000000000169e-03 1.988628000000000097e-03
7.700000000000000000e+01 2.931748000000000080e-03 8.486304000000000666e-05 3.558527000000000131e-03 2.542056999999999910e-03 1.985211000000000180e-03
7.800000000000000000e+01 2.897689000000000167e-03 8.410441999999999528e-05 3.527222999999999904e-03 2.499472999999999886e-03 1.981297999999999827e-03
7.900000000000000000e+01 2.868559000000000126e-03 8.333661000000000508e-05 3.497074000000000189e-03 2.461436999999999913e-03 1.977673000000000104e-03
8.000000000000000000e+01 2.840075000000000065e-03 8.256992999999999906e-05 3.469111999999999890e-03 2.427936999999999804e-03 1.972906999999999873e-03
8.100000000000000000e+01 2.810542999999999982e-03 8.179970000000000221e-05 3.441753000000000087e-03 2.399964999999999998e-03 1.968362999999999884e-03
8.200000000000000000e+01 2.783804999999999873e-03 8.106211999999999901e-05 3.416614000000000109e-03 2.377422000000000129e-03 1.964719000000000187e-03
8.300000000000000000e+01 2.745930000000000159e-03 8.035037000000000028e-05 3.391816000000000188e-03 2.359323999999999883e-03 1.960584000000000025e-03
8.400000000000000000e+01 2.702724000000000099e-03 7.964937999999999532e-05 3.368204000000000076e-03 2.344830000000000005e-03 1.955469999999999951e-03
8.500000000000000000e+01 2.664040999999999805e-03 7.895039999999999545e-05 3.344885000000000132e-03 2.333492999999999852e-03 1.949694000000000080e-03
8.600000000000000000e+01 2.627135999999999968e-03 7.827125000000000044e-05 3.321300000000000120e-03 2.324319999999999945e-03 1.942535999999999916e-03
8.700000000000000000e+01 2.594253999999999831e-03 7.759936999999999900e-05 3.300846999999999982e-03 2.318703999999999991e-03 1.933575000000000094e-03
8.800000000000000000e+01 2.560120999999999838e-03 7.691196999999999606e-05 3.283145999999999808e-03 2.316171000000000115e-03 1.921863999999999907e-03
8.900000000000000000e+01 2.518900000000000132e-03 7.623778999999999636e-05 3.265689999999999912e-03 2.314793999999999793e-03 1.908287000000000047e-03
9.000000000000000000e+01 2.479608999999999806e-03 7.555135000000000637e-05 3.247687999999999877e-03 2.314253999999999964e-03 1.894110000000000064e-03
9.100000000000000000e+01 2.451630000000000215e-03 7.487972999999999602e-05 3.229772000000000112e-03 2.314360000000000115e-03 1.878812000000000104e-03
9.200000000000000000e+01 2.423082999999999921e-03 7.424529999999999878e-05 3.210858999999999935e-03 2.314500000000000151e-03 1.861798000000000012e-03
9.300000000000000000e+01 2.396996000000000196e-03 7.360817000000000239e-05 3.189985000000000216e-03 2.313430000000000000e-03 1.843933000000000074e-03
9.400000000000000000e+01 2.369674999999999906e-03 7.297603000000000271e-05 3.168024000000000187e-03 2.311109999999999901e-03 1.825419000000000000e-03
9.500000000000000000e+01 2.345222000000000105e-03 7.232476000000000649e-05 3.146285999999999874e-03 2.308778000000000045e-03 1.806209000000000026e-03
9.600000000000000000e+01 2.317622999999999992e-03 7.165763999999999923e-05 3.124755999999999801e-03 2.305839000000000066e-03 1.786524999999999962e-03
9.700000000000000000e+01 2.286874999999999845e-03 7.101260000000000515e-05 3.102455999999999964e-03 2.301333000000000024e-03 1.766713000000000051e-03
9.800000000000000000e+01 2.260003999999999919e-03 7.037404000000000359e-05 3.079848999999999955e-03 2.295513999999999801e-03 1.746280999999999918e-03
9.900000000000000000e+01 2.237615000000000090e-03 6.974067999999999988e-05 3.056778000000000012e-03 2.288664000000000150e-03 1.724964000000000055e-03
1.000000000000000000e+02 2.218724000000000043e-03 6.910902999999999382e-05 3.033053999999999872e-03 2.280143000000000100e-03 1.703695999999999986e-03
1.010000000000000000e+02 2.202589999999999930e-03 6.850141000000000183e-05 3.007556000000000205e-03 2.268707000000000015e-03 1.681399000000000088e-03
1.020000000000000000e+02 2.183829999999999886e-03 6.790246000000000649e-05 2.981614999999999960e-03 2.255238000000000121e-03 1.657707000000000017e-03
1.030000000000000000e+02 2.167516999999999881e-03 6.731683999999999498e-05 2.956280999999999839e-03 2.241049000000000166e-03 1.632678999999999945e-03
1.040000000000000000e+02 2.146119000000000152e-03 6.673086999999999964e-05 2.929616999999999812e-03 2.225435999999999907e-03 1.607031000000000084e-03
1.050000000000000000e+02 2.128820999999999925e-03 6.616817000000000586e-05 2.903854999999999891e-03 2.208293000000000061e-03 1.581383000000000007e-03
1.060000000000000000e+02 2.117408999999999784e-03 6.561883999999999870e-05 2.878771999999999928e-03 2.190267000000000082e-03 1.555385000000000057e-03
1.070000000000000000e+02 2.107192999999999827e-03 6.508669000000000076e-05 2.854972999999999799e-03 2.172147000000000140e-03 1.529572000000000093e-03
